x=69.33333333333327; y=224.66666666666666
x=106.56666666666665; y=170.33333333333334
x=263.3333333333333; y=164.66666666666663
x=138.56666666666672; y=139.66666666666669
x=192.66666666666666; y=229.3333333333334
x=75.9000000000001; y=319.66666666666674
x=52.66666666666662; y=98.6666666666667
x=234.5666666666667; y=138.33333333333331
x=174.00000000000003; y=309.3333333333334
x=131.90000000000003; y=49.000000000000014
x=130.66666666666669; y=203.33333333333337
x=88.56666666666668; y=66.99999999999997
x=170.0; y=110.66666666666671
x=192.56666666666663; y=37.6666666666667
x=233.33333333333334; y=256.0
x=215.90000000000003; y=45.00000000000001
x=252.00000000000006; y=63.333333333333314
x=165.23333333333338; y=72.33333333333331
x=256.66666666666663; y=92.6666666666667
x=33.90000000000003; y=302.33333333333326
x=78.6666666666667; y=148.00000000000003
x=33.23333333333337; y=130.33333333333334
x=273.33333333333337; y=126.0
x=181.23333333333338; y=179.6666666666667
x=116.66666666666663; y=304.66666666666663
x=143.9; y=234.33333333333334
x=208.0; y=92.0
x=33.90000000000007; y=221.66666666666663
x=128.66666666666666; y=85.33333333333331
x=85.2333333333333; y=261.6666666666666
x=206.66666666666666; y=136.66666666666666
x=100.5666666666667; y=107.66666666666667
